,criterion,max_depth,max_features,min_impurity_decrease,n_estimators,Accuracy
919,gini,4.0,10,5.0,1000,0.5841194968553458
920,gini,4.0,log2,3.0,10,0.5841194968553458
921,gini,4.0,log2,3.0,1,0.5841194968553458
922,gini,4.0,log2,2.0,1000,0.5841194968553458
923,gini,4.0,log2,2.0,100,0.5841194968553458
924,gini,5.0,sqrt,1.0,1,0.5841194968553458
925,gini,5.0,sqrt,1.0,10,0.5841194968553458
926,gini,5.0,sqrt,1.0,100,0.5841194968553458
927,gini,5.0,sqrt,1.0,1000,0.5841194968553458
928,gini,5.0,sqrt,2.0,1,0.5841194968553458
929,gini,5.0,sqrt,2.0,100,0.5841194968553458
930,gini,4.0,log2,2.0,10,0.5841194968553458
931,gini,5.0,sqrt,2.0,1000,0.5841194968553458
932,gini,5.0,sqrt,3.0,1,0.5841194968553458
933,gini,5.0,sqrt,3.0,10,0.5841194968553458
934,gini,5.0,sqrt,3.0,100,0.5841194968553458
935,gini,5.0,sqrt,3.0,1000,0.5841194968553458
936,gini,5.0,sqrt,4.0,1,0.5841194968553458
937,gini,5.0,sqrt,4.0,10,0.5841194968553458
938,gini,5.0,sqrt,4.0,100,0.5841194968553458
939,gini,5.0,sqrt,4.0,1000,0.5841194968553458
940,gini,5.0,sqrt,5.0,1,0.5841194968553458
941,gini,5.0,sqrt,5.0,10,0.5841194968553458
942,gini,5.0,sqrt,5.0,100,0.5841194968553458
943,gini,5.0,sqrt,5.0,1000,0.5841194968553458
944,gini,10.0,,4.0,1000,0.5841194968553458
945,gini,10.0,,5.0,1,0.5841194968553458
946,gini,10.0,,5.0,10,0.5841194968553458
947,entropy,3.0,sqrt,1.0,10,0.5841194968553458
948,gini,,10,4.0,1,0.5841194968553458
949,gini,,10,4.0,10,0.5841194968553458
950,gini,,10,4.0,100,0.5841194968553458
