,C,coef0,decision_function_shape,gamma,kernel,Accuracy
403,5.0,0.0,ovr,0.1,linear,0.7686932215234101
404,5.0,2.0,ovo,0.01,linear,0.7686932215234101
405,5.0,0.0,ovo,0.001,linear,0.7686932215234101
406,2.0,3.0,ovr,0.5,linear,0.7686932215234101
407,2.0,0.0,ovo,0.5,linear,0.7686932215234101
408,2.0,2.0,ovr,1.0,linear,0.7686932215234101
409,2.0,0.0,ovr,0.001,linear,0.7686932215234101
410,2.0,2.0,ovr,0.5,linear,0.7686932215234101
411,2.0,2.0,ovr,0.1,linear,0.7686932215234101
412,2.0,1.0,ovo,0.5,linear,0.7686932215234101
413,2.0,0.0,ovo,0.001,linear,0.7686932215234101
414,2.0,2.0,ovr,0.01,linear,0.7686932215234101
415,2.0,2.0,ovr,0.001,linear,0.7686932215234101
416,2.0,1.0,ovo,1.0,linear,0.7686932215234101
417,2.0,2.0,ovo,3.0,linear,0.7686932215234101
418,2.0,2.0,ovo,1.0,linear,0.7686932215234101
419,2.0,0.0,ovr,0.1,linear,0.7686932215234101
420,2.0,2.0,ovo,0.5,linear,0.7686932215234101
421,2.0,2.0,ovo,0.1,linear,0.7686932215234101
422,2.0,1.0,ovo,3.0,linear,0.7686932215234101
423,2.0,2.0,ovo,0.01,linear,0.7686932215234101
424,2.0,2.0,ovo,0.001,linear,0.7686932215234101
425,2.0,1.0,ovr,3.0,linear,0.7686932215234101
426,2.0,0.0,ovo,1.0,linear,0.7686932215234101
427,2.0,0.0,ovr,0.01,linear,0.7686932215234101
428,2.0,1.0,ovr,1.0,linear,0.7686932215234101
429,2.0,1.0,ovr,0.001,linear,0.7686932215234101
430,2.0,1.0,ovr,0.01,linear,0.7686932215234101
431,2.0,1.0,ovr,0.1,linear,0.7686932215234101
432,2.0,2.0,ovr,3.0,linear,0.7686932215234101
433,2.0,1.0,ovo,0.1,linear,0.7686932215234101
434,2.0,3.0,ovo,1.0,linear,0.7686932215234101
435,2.0,3.0,ovr,1.0,linear,0.7686932215234101
436,2.0,3.0,ovr,0.1,linear,0.7686932215234101
437,2.0,3.0,ovr,0.01,linear,0.7686932215234101
438,2.0,0.0,ovr,0.5,linear,0.7686932215234101
439,2.0,0.0,ovr,1.0,linear,0.7686932215234101
440,2.0,0.0,ovo,0.1,linear,0.7686932215234101
